Time,Time Code,Country Name,Country Code,GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],Gini index [SI.POV.GINI]
2016,YR2016,Austria,AUT,44362.6702918145,30.8
2016,YR2016,Belgium,BEL,41172.8862464509,27.6
2016,YR2016,Switzerland,CHE,84611.0998479606,33
2016,YR2016,Czechia,CZE,18359.0978117405,25.4
2016,YR2016,Germany,DEU,42528.0637107828,31.4
2016,YR2016,Estonia,EST,18264.9867328144,31.2
2016,YR2016,Spain,ESP,26704.3435828513,35.8
2016,YR2016,Finland,FIN,43529.676196739,27.1
2016,YR2016,France,FRA,36920.5342871045,31.9
2016,YR2016,Hungary,HUN,13035.3528590909,30.3
2016,YR2016,Israel,ISR,36969.741657336,39
2016,YR2016,Italy,ITA,30815.0869082281,35.2
2016,YR2016,Netherlands,NLD,46655.0363545163,28.2
2016,YR2016,Poland,POL,13026.1858988718,31.2
2016,YR2016,Russian Federation,RUS,9269.3193359375,36.7
2016,YR2016,Slovenia,SVN,21309.7120251737,24.8
2016,YR2016,United Kingdom,GBR,45482.4668618551,33.1
2016,YR2016,Ireland,IRL,64367.4069016353,32.8
2016,YR2016,Iceland,ISL,55513.6423015865,27.2
2016,YR2016,Lithuania,LTU,14870.1049461514,38.4
2016,YR2016,Norway,NOR,75017.4944737055,28.5
2016,YR2016,Portugal,PRT,19662.823085477,35.2
2016,YR2016,Sweden,SWE,51746.6969632478,29.6
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 01/28/2025,,,,,
